database,operation,scenario,tps_100K,tps_1M,tps_10M,lat_p95_100K,lat_p95_1M,lat_p95_10M,delta_tps_100K_1M_pct,delta_tps_1M_10M_pct,delta_tps_100K_10M_pct,delta_lat_100K_1M_pct,delta_lat_1M_10M_pct,delta_lat_100K_10M_pct
mysql,CREATE,Sequencial,6496.48,1964.82,1000.30,20.70,71.97,125.10,-69.76,-49.09,-84.60,247.67,73.83,504.36
mysql,CREATE,Paralelo,438.23,324.92,237.94,277.90,480.35,480.26,-25.86,-26.77,-45.70,72.85,-0.02,72.82
mysql,READ,Sequencial,1997.62,1509.87,1236.09,28.72,38.94,45.38,-24.42,-18.13,-38.12,35.57,16.55,58.01
mysql,READ,Paralelo,183.84,161.42,140.30,415.98,419.87,497.75,-12.19,-13.08,-23.68,0.94,18.55,19.66
mysql,UPDATE,Sequencial,20957.78,6697.42,3052.50,3.39,45.80,58.75,-68.04,-54.42,-85.43,1249.32,28.28,1630.85
mysql,UPDATE,Paralelo,1160.47,887.67,928.54,145.86,205.97,207.08,-23.51,4.60,-19.99,41.20,0.54,41.97
mysql,DELETE,Sequencial,71106.47,38122.65,3235.79,1.15,12.27,53.38,-46.39,-91.51,-95.45,963.26,335.03,4525.48
mysql,DELETE,Paralelo,3721.73,2182.30,975.93,35.98,144.57,242.56,-41.36,-55.28,-73.78,301.81,67.77,574.12
vitess,CREATE,Sequencial,328.96,201.81,294.10,260.33,447.60,288.47,-38.65,45.73,-10.60,71.94,-35.55,10.81
vitess,CREATE,Paralelo,43.00,42.14,38.95,1835.81,1832.45,1991.28,-2.01,-7.58,-9.44,-0.18,8.67,8.47
vitess,READ,Sequencial,3619.39,91.02,127.64,35.94,1006.02,659.10,-97.49,40.23,-96.47,2699.32,-34.48,1733.98
vitess,READ,Paralelo,20.23,19.80,19.95,4406.45,4493.71,4366.15,-2.13,0.73,-1.42,1.98,-2.84,-0.91
vitess,UPDATE,Sequencial,1136.65,706.87,983.39,97.93,164.77,111.56,-37.81,39.12,-13.48,68.25,-32.29,13.92
vitess,UPDATE,Paralelo,186.85,166.94,166.31,612.29,682.48,634.84,-10.66,-0.37,-10.99,11.46,-6.98,3.68
vitess,DELETE,Sequencial,3159.36,1376.77,1037.57,41.49,111.55,107.46,-56.42,-24.64,-67.16,168.89,-3.67,159.02
vitess,DELETE,Paralelo,348.85,274.99,302.70,407.56,483.59,458.99,-21.17,10.08,-13.23,18.65,-5.09,12.62
